Diorite Stairs,1.8,2.16
Polished Diorite Stairs,2.16,2.592
Granite Stairs,1.8,2.16
Polished Granite Stairs,2.16,2.592
Mossy Stone Brick Stairs,17.0208,20.42496
Mossy Stone Stairs,12.96,15.552
Smooth Sandstone Stairs,7.344,8.8128
Smooth Red Sandstone Stairs,17.712,21.2544
Smooth Quartz Stairs,183.6,220.32
Red Nether Brick Stairs,71.28,85.536
End Stone Brick Stairs,107.495424,128.9945088
Mycelium,10,12
Lily Pad,3,3.6
Nether Brick (Block),34.56,41.472
Cracked Nether Brick (Block),42.672,51.2064
Chiseled Nether Brick (Block),49.7664,59.71968
Nether Brick Fence,30.528,36.6336
Nether Brick Stairs,62.208,74.6496
Nether Wart,,
Enchantment Table,1453.392,1744.0704
Brewing Stand (Block),,
Cauldron (Block),,
End Portal,,
End Portal Frame,,
End Stone,10,12
Dragon Egg,1000,1200
Redstone Lamp,60.48,72.576
Redstone Lamp (On),,
Oak Wood Slab (Double),,
Spruce Wood Slab (Double),,
Birch Wood Slab (Double),,
Jungle Wood Slab (Double),,
Acacia Wood Slab (Double),,
Dark Oak Wood Slab (Double),,
Oak Wood Slab,1.8,2.16
Spruce Wood Slab,1.8,2.16
Birch Wood Slab,1.8,2.16
Jungle Wood Slab,1.8,2.16
Acacia Wood Slab,1.8,2.16
Dark Oak Wood Slab,1.8,2.16
Cocoa Plant,,
Sandstone Stairs,0.9,1.08
Emerald Ore,55,66
Ender Chest,615.7152,738.85824
Tripwire Hook,14.4,17.28
Tripwire,,
Block of Emerald,540,648
Spruce Wood Stairs,5.4,6.48
Birch Wood Stairs,5.4,6.48
Jungle Wood Stairs,5.4,6.48
Command Block,,
Beacon,490.8,588.96
Cobblestone Wall,1.2,1.44
Mossy Cobblestone Wall,8.64,10.368
Andesite Wall,1.2,1.44
Diorite Wall,1.2,1.44
Granite Wall,1.2,1.44
Sandstone Wall,2.88,3.456
Red Sandstone Wall,8.64,10.368
Brick Wall,27.648,33.1776
Stone Brick Wall,3.456,4.1472
Mossy Stone Brick Wall,11.3472,13.61664
Nether Brick Wall,41.472,49.7664
Red Nether Brick Wall,47.52,57.024
End Stone Brick Wall,71.663616,85.9963392
Prismarine Wall,28.8,34.56
Flower Pot (Block),,
Carrot (Crop),,
Potatoes (Crop),,
Oak Button,3.6,4.32
Spruce Button,3.6,4.32
Birch Button,3.6,4.32
Jungle Button,3.6,4.32
Acacia Button,3.6,4.32
Dark Oak Button,3.6,4.32
Skeleton Skull (Block),,
Wither Skeleton Skull (Block),,
Zombie Head,,
Head (Block),,
Creeper Head (Block),,
Anvil,838.656,1006.3872
Slightly Damaged Anvil,419.328,503.1936
Very Damaged Anvil,209.664,251.5968
Trapped Chest,51.84,62.208
Light Weighted Pressure Plate,146.88,176.256
Heavy Weighted Pressure Plate,46.08,55.296
Redstone Comparator (Off),,
Redstone Comparator (On),,
Daylight Sensor,75.96,91.152
Block of Redstone,32.4,38.88
Nether Quartz Ore,20,24
Hopper,149.76,179.712
Block of Quartz,84,100.8
Chiseled Quartz Block,120.96,145.152
Pillar Quartz Block,100.8,120.96
Smooth Quartz Block,102,122.4
Quartz Bricks,100.8,120.96
Quartz Stairs,151.2,181.44
Activator Rail,24.912,29.8944
Dropper,12,14.4
White Terracotta,22.446,26.9352
Orange Terracotta,22.401,26.8812
Magenta Terracotta,22.401,26.8812
Light Blue Terracotta,29.088,34.9056
Yellow Terracotta,22.266,26.7192
Lime Terracotta,22.4235,26.9082
Pink Terracotta,26.0856,31.30272
Gray Terracotta,26.496,31.7952
Light Gray Terracotta,24.372,29.2464
Cyan Terracotta,22.266,26.7192
Purple Terracotta,22.926,27.5112
Blue Terracotta,22.491,26.9892
Brown Terracotta,23.076,27.6912
Green Terracotta,23.256,27.9072
Red Terracotta,22.266,26.7192
Black Terracotta,22.716,27.2592
White Stained Glass Pane,0.6435,0.7722
Orange Stained Glass Pane,0.54,0.648
Magenta Stained Glass Pane,0.6318,0.75816
Light Blue Stained Glass Pane,0.675,0.81
Yellow Stained Glass Pane,0.531,0.6372
Lime Stained Glass Pane,0.9045,1.0854
Pink Stained Glass Pane,0.6075,0.729
Gray Stained Glass Pane,0.7425,0.891
Light Gray Stained Glass Pane,0.70875,0.8505
Cyan Stained Glass Pane,0.9045,1.0854
Purple Stained Glass Pane,0.6075,0.729
Blue Stained Glass Pane,0.6435,0.7722
Brown Stained Glass Pane,0.936,1.1232
Green Stained Glass Pane,1.026,1.2312
Red Stained Glass Pane,0.531,0.6372
Black Stained Glass Pane,0.756,0.9072
Acacia Leaves,2,2.4
Dark Oak Leaves,2,2.4
Acacia Log,10,12
Dark Oak Log,10,12
Stripped Acacia Log,10,12
Stripped Dark Oak Log,10,12
Acacia Wood,16,19.2
Dark Oak Wood,16,19.2
Stripped Acacia Wood,10,12
Stripped Dark Oak Wood,10,12
Acacia Wood Stairs,5.4,6.48
Dark Oak Wood Stairs,5.4,6.48
Slime Block,108,129.6
Barrier,,
Iron Trapdoor,92.16,110.592
Prismarine,24,28.8
Prismarine Bricks,54,64.8
Dark Prismarine,52.32,62.784
Prismarine Stairs,43.2,51.84
Prismarine Brick Stairs,97.2,116.64
Dark Prismarine Stairs,94.176,113.0112
Prismarine Slab,14.4,17.28
Prismarine Brick Slab,32.4,38.88
Dark Prismarine Slab,31.392,37.6704
Sea Lantern,69,82.8
Hay Bale,32.4,38.88
Carpet (White),12,14.4
Orange Carpet,14.508,17.4096
Magenta Carpet,14.6916,17.62992
Light Blue Carpet,14.778,17.7336
Yellow Carpet,14.49,17.388
Lime Carpet,15.237,18.2844
Pink Carpet,14.643,17.5716
Gray Carpet,14.913,17.8956
Light Gray Carpet,14.8455,17.8146
Cyan Carpet,15.237,18.2844
Purple Carpet,14.643,17.5716
Blue Carpet,14.715,17.658
Brown Carpet,15.3,18.36
Green Carpet,15.48,18.576
Red Carpet,14.49,17.388
Black Carpet,14.94,17.928
Terracotta,18.48,22.176
Block of Coal,86.4,103.68
Packed Ice,75.6,90.72
Sunflower,3,3.6
Lilac,2.5,3
Double Tallgrass,,
Large Fern,,
Rose Bush,1,1.2
Peony,1,1.2
Red Sandstone,7.2,8.64
Red Chiseled Sandstone,12.4416,14.92992
Cut Red Sandstone,8.64,10.368
Smooth Red Sandstone,9.84,11.808
Red Sandstone Stairs,12.96,15.552
Red Sandstone Slab (Double),,
Red Sandstone Slab,5.184,6.2208
Spruce Fence Gate,15.84,19.008
Birch Fence Gate,15.84,19.008
Jungle Fence Gate,15.84,19.008
Dark Oak Fence Gate,15.84,19.008
Acacia Fence Gate,15.84,19.008
Spruce Fence,6.24,7.488
Birch Fence,6.24,7.488
Jungle Fence,6.24,7.488
Dark Oak Fence,6.24,7.488
Acacia Fence,6.24,7.488
End Rod,32.16,38.592
Chorus Plant,,
Chorus Flower,25,30
Purpur Block,34.56,41.472
Purpur Pillar,49.7664,59.71968
Purpur Stairs,62.208,74.6496
Purpur Double Slab,,
Purpur Slab,20.736,24.8832
End Stone Bricks,59.71968,71.663616
Grass Path,,
End Gateway (Block),,
Frosted Ice,,
Magma Block,134.4,161.28
Nether Wart Block,162,194.4
Red Nether Bricks,39.6,47.52
Bone Block,21.6,25.92
Structure Void,,
Observer,35.4,42.48
Shulker Box,94.56,113.472
White Shulker Box,115.872,139.0464
Orange Shulker Box,114.336,137.2032
Magenta Shulker Box,115.8048,138.96576
Light Blue Shulker Box,116.496,139.7952
Yellow Shulker Box,114.192,137.0304
Lime Shulker Box,120.168,144.2016
Pink Shulker Box,115.416,138.4992
Gray Shulker Box,117.576,141.0912
Light Gray Shulker Box,117.036,140.4432
Cyan Shulker Box,120.168,144.2016
Purple Shulker Box,115.416,138.4992
Blue Shulker Box,115.992,139.1904
Brown Shulker Box,120.672,144.8064
Green Shulker Box,122.112,146.5344
Red Shulker Box,114.192,137.0304
Black Shulker Box,117.792,141.3504
White Glazed Terracotta,28.1352,33.76224
Orange Glazed Terracotta,28.0812,33.69744
Magenta Glazed Terracotta,28.0812,33.69744
Light Blue Glazed Terracotta,36.1056,43.32672
Yellow Glazed Terracotta,27.9192,33.50304
Lime Glazed Terracotta,28.1082,33.72984
Pink Glazed Terracotta,32.50272,39.003264
Gray Glazed Terracotta,32.9952,39.59424
Light Gray Glazed Terracotta,30.4464,36.53568
Cyan Glazed Terracotta,27.9192,33.50304
Purple Glazed Terracotta,28.7112,34.45344
Blue Glazed Terracotta,28.1892,33.82704
Brown Glazed Terracotta,28.8912,34.66944
Green Glazed Terracotta,29.1072,34.92864
Red Glazed Terracotta,27.9192,33.50304
Black Glazed Terracotta,28.4592,34.15104
White Concrete,1.08,1.296
Orange Concrete,0.8496,1.01952
Magenta Concrete,1.06992,1.283904
Light Blue Concrete,1.1736,1.40832
Yellow Concrete,0.828,0.9936
Lime Concrete,1.7244,2.06928
Pink Concrete,1.0116,1.21392
Gray Concrete,1.3356,1.60272
Light Gray Concrete,1.2546,1.50552
Cyan Concrete,1.7244,2.06928
Purple Concrete,1.0116,1.21392
Blue Concrete,1.098,1.3176
Brown Concrete,1.8,2.16
Green Concrete,2.016,2.4192
Red Concrete,0.828,0.9936
Black Concrete,1.368,1.6416
White Concrete Powder,0.9,1.08
Orange Concrete Powder,0.708,0.8496
Magenta Concrete Powder,0.8916,1.06992
Light Blue Concrete Powder,0.978,1.1736
Yellow Concrete Powder,0.69,0.828
Lime Concrete Powder,1.437,1.7244
Pink Concrete Powder,0.843,1.0116
Gray Concrete Powder,1.113,1.3356
Light Gray Concrete Powder,1.0455,1.2546
Cyan Concrete Powder,1.437,1.7244
Purple Concrete Powder,0.843,1.0116
Blue Concrete Powder,0.915,1.098
Brown Concrete Powder,1.5,1.8
Green Concrete Powder,1.68,2.016
Red Concrete Powder,0.69,0.828
Black Concrete Powder,1.14,1.368
Structure Block,,
Iron Shovel,27.36,32.832
Iron Pickaxe,73.44,88.128
Iron Axe,73.44,88.128
Flint and Steel,23.64,28.368
Apple,3,3.6
Bow,11.88,14.256
Arrow,0.84,1.008
Coal,8,9.6
Charcoal,13.2,15.84
Diamond Gem,500,600
Iron Ingot,19.2,23.04
Gold Ingot,61.2,73.44
Iron Sword,48.24,57.888
Wooden Sword,9.36,11.232
Wooden Shovel,7.92,9.504
Wooden Pickaxe,15.12,18.144
Wooden Axe,15.12,18.144
Stone Sword,4.56,5.472
Stone Shovel,5.52,6.624
Stone Pickaxe,7.92,9.504
Stone Axe,7.92,9.504
Diamond Sword,1202.16,1442.592
Diamond Shovel,604.32,725.184
Diamond Pickaxe,1804.32,2165.184
Diamond Axe,1804.32,2165.184
Stick,1.8,2.16
Bowl,2.7,3.24
Mushroom Stew,5.64,6.768
Golden Sword,149.04,178.848
Golden Shovel,77.76,93.312
Golden Pickaxe,224.64,269.568
Golden Axe,224.64,269.568
String,1.5,1.8
Feather,0.5,0.6
Gunpowder,10,12
Wooden Hoe,11.52,13.824
Stone Hoe,6.72,8.064
Iron Hoe,50.4,60.48
Diamond Hoe,1204.32,1445.184
Golden Hoe,151.2,181.44
Wheat Seeds,1,1.2
Wheat,3,3.6
Bread,10.8,12.96
Leather Cap,45,54
Leather Tunic,72,86.4
Leather Pants,63,75.6
Leather Boots,36,43.2
Chainmail Helmet,300,360
Chainmail Chestplate,650,780
Chainmail Leggings,500,600
Chainmail Boots,300,360
Iron Helmet,115.2,138.24
Iron Chestplate,184.32,221.184
Iron Leggings,161.28,193.536
Iron Boots,92.16,110.592
Diamond Helmet,3000,3600
Diamond Chestplate,4800,5760
Diamond Leggings,4200,5040
Diamond Boots,2400,2880
Golden Helmet,367.2,440.64
Golden Chestplate,587.52,705.024
Golden Leggings,514.08,616.896
Golden Boots,293.76,352.512
Flint,0.5,0.6
Raw Porkchop,4,4.8
Cooked Porkchop,6,7.2
Painting,23.28,27.936
Gold Apple,81.936,98.3232
Enchanted Golden Apple,6348.816,7618.5792
Oak Sign,7.92,9.504
Spruce Sign,7.92,9.504
Birch Sign,7.92,9.504
Jungle Sign,7.92,9.504
Acacia Sign,7.92,9.504
Dark Oak Sign,7.92,9.504
Oak Door,7.2,8.64
Bucket,69.12,82.944
Pseudo Water,0.25,0.3
Water Bucket,83.244,99.8928
Pseudo Lava,1,1.2
Lava Bucket,84.144,100.9728
Minecart,115.2,138.24
Saddle,100,120
Iron Door,46.08,55.296
Redstone (Dust),3,3.6
Snowball,1,1.2
Oak Boat,18,21.6
Leather,7.5,9
Pseudo Milk,0.5,0.6
Milk Bucket,83.544,100.2528
Brick (Item),4.8,5.76
Clay Ball,3,3.6
Sugar Canes (Item),0.5,0.6
Paper,0.6,0.72
Book,11.16,13.392
Slimeball,10,12
Minecart with Chest,172.8,207.36
Minecart with Furnace,149.76,179.712
Egg,0.5,0.6
Compass,187.92,225.504
Fishing Rod,10.08,12.096
Clock,297.36,356.832
Glowstone Dust,8,9.6
Raw Fish,3,3.6
Raw Salmon,3.25,3.9
Clownfish,1.5,1.8
Pufferfish,5,6
Cooked Fish,4.8,5.76
Cooked Salmon,5.1,6.12
Ink Sac,3,3.6
Rose Red,0.6,0.72
Cactus Green,7.2,8.64
Cocoa Beans,5,6
Lapis Lazuli,3,3.6
Purple Dye,1.62,1.944
Cyan Dye,5.58,6.696
Light Gray Dye,2.97,3.564
Gray Dye,3.42,4.104
Pink Dye,1.62,1.944
Lime Dye,5.58,6.696
Dandelion Yellow,0.6,0.72
Light Blue Dye,2.52,3.024
Magenta Dye,1.944,2.3328
Orange Dye,0.72,0.864
Bone Meal,2,2.4
Black Dye,3.6,4.32
Brown Dye,6,7.2
Blue Dye,2.1,2.52
White Dye,2.1,2.52
Bone,5,6
Sugar,0.6,0.72
Cake,14.64,17.568
Bed,28.8,34.56
Redstone Repeater,26.064,31.2768
Cookie,1.65,1.98
Map,,
Exploration Map (Ocean),800,960
Exploration Map (Woodland),1100,1320
Exploration Map (Buried Treasure),1000,1200
Shears,46.08,55.296
Melon (Slice),1.5,1.8
Pumpkin Seeds,1.5,1.8
Melon Seeds,1.8,2.16
Raw Beef,5,6
Steak,7.2,8.64
Raw Chicken,2.5,3
Cooked Chicken,4.2,5.04
Rotten Flesh,1,1.2
Ender Pearl,50,60
Blaze Rod,100,120
Ghast Tear,75,90
Gold Nugget,8.16,9.792
Nether Wart (Seeds),15,18
Water Bottle,2.592,3.1104
Awkward Potion,24.7104,29.65248
Thick Potion,16.3104,19.57248
Mundane Potion,10.3104,12.37248
Uncraftable Potion,,
Potion of Regeneration (0:45),123.25248,147.902976
Potion of Swiftness (3:00),33.97248,40.766976
Potion of Fire Resistance (3:00),66.85248,80.222976
Potion of Poison (0:45),36.85248,44.222976
Potion of Healing,47.16288,56.595456
Potion of Night Vision (3:00),128.33568,154.002816
Potion of Weakness (1:30),13.3344,16.00128
Potion of Strength (3:00),105.25248,126.302976
Potion of Slowness (1:30),90.446976,108.5363712
Potion of Leaping (3:00),57.25248,68.702976
Potion of Harming,54.446976,65.3363712
Potion of Water Breathing (3:00),39.25248,47.102976
Potion of Invisibility (3:00),164.226816,197.0721792
Potion of Turtle Master (1:00),93.25248,111.902976
Potion of Slow Falling (1:30),39.25248,47.102976
"Potion of Regeneration (II, 0:22)",161.102976,193.3235712
"Potion of Swiftness (II, 1:30)",53.966976,64.7603712
"Potion of Poison (II, 0:22)",57.422976,68.9075712
Potion of Healing (II),69.795456,83.7545472
"Potion of Strength (II, 1:30)",139.502976,167.4035712
"Potion of Leaping (II, 1:30)",81.902976,98.2835712
Potion of Harming (II),78.5363712,94.24364544
"Potion of Turtle Master (II, 0:30)",125.102976,150.1235712
Potion of Regeneration (2:00),155.102976,186.1235712
Potion of Swiftness (8:00),47.966976,57.5603712
Potion of Fire Resistance (8:00),87.422976,104.9075712
Potion of Poison (2:00),51.422976,61.7075712
Potion of Night Vision (8:00),161.202816,193.4433792
Potion of Weakness (4:00),22.59648,27.115776
Potion of Strength (8:00),133.502976,160.2035712
Potion of Slowness (4:00),115.1315712,138.1578854
Potion of Water Breathing (8:00),54.302976,65.1635712
Potion of Invisibility (8:00),204.2721792,245.126615
Potion of Turtle Master (3:00),119.102976,142.9235712
Potion of Slow Falling (4:00),54.302976,65.1635712
Potion of Luck (5:00),100,120
"Potion of Regeneration (II, 1:00)",,
"Potion of Swiftness (II, 4:00)",,
"Potion of Poison (II, 1:00)",,
"Potion of Strength (II, 4:00)",,
Glass Bottle,2.16,2.592
Spider Eye,3,3.6
Fermented Spider Eye,5.52,6.624
Blaze Powder,60,72
Magma Cream,28,33.6
Brewing Stand,123.6,148.32
Cauldron,161.28,193.536
Eye of Ender,132,158.4
Glistering Melon Slice,11.592,13.9104
Elder Guardian Spawn Egg,,
Wither Skeleton Spawn Egg,,
Stray Spawn Egg,,
Husk Spawn Egg,,
Zombie Villager Spawn Egg,,
Skeleton Horse Spawn Egg,,
Zombie Horse Spawn Egg,,
Donkey Spawn Egg,,
Mule Spawn Egg,,
Evoker Spawn Egg,,
Vex Spawn Egg,,
Vindicator Spawn Egg,,
Creeper Spawn Egg,,
Skeleton Spawn Egg,,
Spider Spawn Egg,,
Zombie Spawn Egg,,
Slime Spawn Egg,,
Ghast Spawn Egg,,
Zombie Pigman Spawn Egg,,
Enderman Spawn Egg,,
Cave Spider Spawn Egg,,
Silverfish Spawn Egg,,
Blaze Spawn Egg,,
Magma Cube Spawn Egg,,
Bat Spawn Egg,,
Witch Spawn Egg,,
Endermite Spawn Egg,,
Guardian Spawn Egg,,
Shulker Spawn Egg,,
Pig Spawn Egg,,
Sheep Spawn Egg,,
Cow Spawn Egg,,
Chicken Spawn Egg,,
Squid Spawn Egg,,
Wolf Spawn Egg,,
Mooshroom Spawn Egg,,
Ocelot Spawn Egg,,
Horse Spawn Egg,,
Rabbit Spawn Egg,,
Polar Bear Spawn Egg,,
Llama Spawn Egg,,
Parrot Spawn Egg,,
Villager Spawn Egg,,
Drowned Spawn Egg,,
Phantom Spawn Egg,,
Turtle Spawn Egg,,
Cod Spawn Egg,,
Salmon Spawn Egg,,
Puffer Fish Spawn Egg,,
Tropical Fish Spawn Egg,,
Dolphin Spawn Egg,,
Illager Beast Spawn Egg,,
Panda Spawn Egg,,
Pillager Spawn Egg,,
Wandering Trader Spawn Egg,,
Trader Llama Spawn Egg,,
Fox Spawn Egg,,
Bee Spawn Egg,,
Hoglin Spawn Egg,,
Piglin Spawn Egg,,
Strider Spawn Egg,,
Zoglin Spawn Egg,,
Piglin Brute Spawn Egg,,
Bottle o` Enchanting,350,420
Fire Charge,93.6,112.32
Book and Quill,17.592,21.1104
Written Book,,0
Emerald,50,60
Item Frame,26.28,31.536
Flower Pot (Item),17.28,20.736
Carrot,0.75,0.9
Potato,0.5,0.6
Baked Potato,1.8,2.16
Poisonous Potato,0.25,0.3
Empty Map,231.264,277.5168
Golden Carrot,79.236,95.0832
Head (Skeleton),250,300
Head (Wither),50,60
Head (Zombie),250,300
Head (Steve),,
Head (Creeper),250,300
Dragon Head,1000,1200
Carrot on a Stick,12.996,15.5952
Nether Star,250,300
Pumpkin Pie,7.32,8.784
Firework Rocket,,
Firework Star,,
Enchanted Book,,
Redstone Comparator,444.096,532.9152
Nether Brick (Item),7.2,8.64
Nether Quartz,17.5,21
Minecart with TNT,213.12,255.744
Minecart with Hopper,317.952,381.5424
Prismarine Shard,5,6
Prismarine Crystals,7.5,9
Raw Rabbit,1.5,1.8
Cooked Rabbit,3,3.6
Rabbit Stew,11.1,13.32
Rabbit`s Foot,20,24
Rabbit Hide,1.5,1.8
Armor Stand,13.68,16.416
Iron Horse Armor,120,144
Golden Horse Armor,350,420
Diamond Horse Armor,3000,3600
Leather Horse Armor,45,54
Lead,9.6,11.52
Name Tag,50,60
Minecart with Command Block,,
Raw Mutton,1,1.2
Cooked Mutton,2.4,2.88
Black Banner,76.464,91.7568
Red Banner,50.544,60.6528
Green Banner,107.568,129.0816
Brown Banner,97.2,116.64
Blue Banner,63.504,76.2048
Purple Banner,97.2,116.64
Cyan Banner,93.5712,112.28544
Light Gray Banner,71.0208,85.22496
Gray Banner,74.9088,89.89056
Pink Banner,59.3568,71.22816
Lime Banner,93.5712,112.28544
Yellow Banner,50.544,60.6528
Light Blue Banner,67.1328,80.55936
Magenta Banner,62.15616,74.587392
Orange Banner,51.5808,61.89696
White Banner,38.16,45.792
Banner Pattern (Flower Charge),2.52,3.024
